Date,Credit_Ratio,Credit_Delta_10d,VIX,Gov_Level,Gov_Name
2007-04-11,0.6286572561954048,,13.489999771118164,3,NORMAL OPS
2007-04-12,0.62846855601296,,12.710000038146973,3,NORMAL OPS
2007-04-13,0.6283919780027192,,12.199999809265137,3,NORMAL OPS
2007-04-16,0.6274652490368882,,11.979999542236328,3,NORMAL OPS
2007-04-17,0.6245121971824571,,12.140000343322754,3,NORMAL OPS
2007-04-18,0.623261574805989,,12.420000076293945,3,NORMAL OPS
2007-04-19,0.6254912618341737,,12.539999961853027,3,NORMAL OPS
2007-04-20,0.6258107943891766,,12.069999694824219,3,NORMAL OPS
2007-04-23,0.6248879558877204,,13.039999961853027,3,NORMAL OPS
2007-04-24,0.6279827853882647,,13.119999885559082,3,NORMAL OPS
2007-04-25,0.6293151887344619,0.001046567955071298,13.210000038146973,3,NORMAL OPS
2007-04-26,0.63227467958481,0.006056187752647713,12.789999961853027,3,NORMAL OPS
2007-04-27,0.63227467958481,0.006178789223935555,12.449999809265137,3,NORMAL OPS
2007-04-30,0.629600593756689,0.003403128257825294,14.220000267028809,3,NORMAL OPS
2007-05-01,0.6296484621547426,0.008224443006010551,13.510000228881836,3,NORMAL OPS
2007-05-02,0.630169112324801,0.01108288686168768,13.079999923706055,3,NORMAL OPS
2007-05-03,0.6309137662339184,0.0086691928898317,13.09000015258789,3,NORMAL OPS
2007-05-04,0.6300940775303865,0.0068443740178540935,12.90999984741211,3,NORMAL OPS
2007-05-07,0.6295031834979093,0.007385688212909303,13.149999618530273,3,NORMAL OPS
2007-05-08,0.6299806917713273,0.003181466800602495,13.210000038146973,3,NORMAL OPS
2007-05-09,0.6303574981939897,0.00165625981731643,12.880000114440918,3,NORMAL OPS
2007-05-10,0.6310334353449475,-0.001963140830940069,13.600000381469727,3,NORMAL OPS
2007-05-11,0.6326886116927685,0.0006546713340320753,12.949999809265137,3,NORMAL OPS
2007-05-14,0.6335465770764087,0.006267439006330866,13.960000038146973,3,NORMAL OPS
2007-05-15,0.6331434644397496,0.0055507199573656685,14.010000228881836,3,NORMAL OPS
2007-05-16,0.6352064226404616,0.007993584923699393,13.5,3,NORMAL OPS
2007-05-17,0.6367205252952823,0.009203728579304737,13.510000228881836,3,NORMAL OPS
2007-05-18,0.6387620638962063,0.013756654244066802,12.760000228881836,3,NORMAL OPS
2007-05-21,0.6385112474509893,0.014309798884615033,13.300000190734863,3,NORMAL OPS
2007-05-22,0.6403612634401458,0.01647760289229061,13.0600004196167,3,NORMAL OPS
2007-05-23,0.6411280944981046,0.017086488754354923,13.239999771118164,3,NORMAL OPS
2007-05-24,0.6404495236941433,0.014921694829131527,14.079999923706055,3,NORMAL OPS
2007-05-25,0.6420602228240496,0.014812359442044176,13.34000015258789,3,NORMAL OPS
2007-05-29,0.6408481672412889,0.011524946119312096,13.529999732971191,3,NORMAL OPS
2007-05-30,0.6416761769667257,0.013476744223406723,12.829999923706055,3,NORMAL OPS
2007-05-31,0.640880632868315,0.008932860288576094,13.050000190734863,3,NORMAL OPS
2007-06-01,0.6435683863054006,0.010754892826711604,12.779999732971191,3,NORMAL OPS
2007-06-04,0.6430885507905377,0.006773237076637795,13.289999961853027,3,NORMAL OPS
2007-06-05,0.6442326990956014,0.008960612154371272,13.630000114440918,3,NORMAL OPS
2007-06-06,0.643118550035702,0.00430582977606031,14.869999885559082,3,NORMAL OPS
2007-06-07,0.646577917539551,0.008500365353218076,17.059999465942383,3,NORMAL OPS
2007-06-08,0.6436413211011709,0.004983683005363337,14.84000015258789,3,NORMAL OPS
2007-06-11,0.6439641437771668,0.002965330798321286,14.710000038146973,3,NORMAL OPS
2007-06-12,0.6452685588741671,0.0068977206440443695,16.670000076293945,3,NORMAL OPS
2007-06-13,0.6442871303693106,0.004068957982712007,14.729999542236328,3,NORMAL OPS
2007-06-14,0.6446229071170485,0.0058392687449215774,13.640000343322754,3,NORMAL OPS
2007-06-15,0.6416866817038942,-0.0029238611490984834,13.9399995803833,3,NORMAL OPS
2007-06-18,0.6423794317525571,-0.0011026771307138805,13.420000076293945,3,NORMAL OPS
2007-06-19,0.640071055166983,-0.006459845851445767,12.850000381469727,3,NORMAL OPS
2007-06-20,0.6364527018067041,-0.010364882537796216,14.670000076293945,3,NORMAL OPS
2007-06-21,0.6384229853358955,-0.012612450846895218,14.210000038146973,3,NORMAL OPS
2007-06-22,0.6377535583939006,-0.009147583466514009,15.75,3,NORMAL OPS
2007-06-25,0.632006493315711,-0.018568814082284613,16.649999618530273,5,CAUTION
